datetime,cpu,mem
Sat Oct 24 14:41:02 GMT 2020,15,1178448
Sat Oct 24 14:41:03 GMT 2020,6.5,1175989
Sat Oct 24 14:41:04 GMT 2020,6.5,1220479
Sat Oct 24 14:41:06 GMT 2020,6.5,1220677
Sat Oct 24 14:41:07 GMT 2020,6.5,1217945
Sat Oct 24 14:41:08 GMT 2020,6.5,1220264
Sat Oct 24 14:41:09 GMT 2020,25,1218113
Sat Oct 24 14:41:11 GMT 2020,25,1218221
Sat Oct 24 14:41:12 GMT 2020,25,1217761
Sat Oct 24 14:41:13 GMT 2020,25,1219168
Sat Oct 24 14:41:15 GMT 2020,14,1217724
Sat Oct 24 14:41:16 GMT 2020,14,1217936
Sat Oct 24 14:41:17 GMT 2020,14,1218060
Sat Oct 24 14:41:19 GMT 2020,14,1219421
Sat Oct 24 14:41:20 GMT 2020,13,1217912
Sat Oct 24 14:41:21 GMT 2020,13,1216074
Sat Oct 24 14:41:23 GMT 2020,13,1216206
Sat Oct 24 14:41:24 GMT 2020,13,1217631
Sat Oct 24 14:41:25 GMT 2020,14,1216354
Sat Oct 24 14:41:27 GMT 2020,14,1216350
Sat Oct 24 14:41:28 GMT 2020,14,1216196
Sat Oct 24 14:41:29 GMT 2020,14,1220737
