datetime,cpu,mem
Sat Oct 24 14:33:03 GMT 2020,15,1126249
Sat Oct 24 14:33:05 GMT 2020,7.7,1123398
Sat Oct 24 14:33:06 GMT 2020,7.7,1159441
Sat Oct 24 14:33:07 GMT 2020,7.7,1188684
Sat Oct 24 14:33:08 GMT 2020,7.7,1188538
Sat Oct 24 14:33:09 GMT 2020,7.7,1189920
Sat Oct 24 14:33:11 GMT 2020,25,1188691
Sat Oct 24 14:33:12 GMT 2020,25,1188533
Sat Oct 24 14:33:13 GMT 2020,25,1188617
Sat Oct 24 14:33:14 GMT 2020,25,1190045
Sat Oct 24 14:33:16 GMT 2020,13,1188807
Sat Oct 24 14:33:17 GMT 2020,13,1188847
Sat Oct 24 14:33:18 GMT 2020,13,1188855
Sat Oct 24 14:33:20 GMT 2020,13,1190336
Sat Oct 24 14:33:21 GMT 2020,13,1189323
Sat Oct 24 14:33:22 GMT 2020,13,1187031
Sat Oct 24 14:33:24 GMT 2020,13,1187075
Sat Oct 24 14:33:25 GMT 2020,13,1188652
Sat Oct 24 14:33:27 GMT 2020,12,1187335
Sat Oct 24 14:33:28 GMT 2020,12,1187351
Sat Oct 24 14:33:29 GMT 2020,12,1187141
