datetime,cpu,mem
Sat Oct 24 14:43:18 GMT 2020,16,1177090
Sat Oct 24 14:43:20 GMT 2020,7.4,1174763
Sat Oct 24 14:43:21 GMT 2020,7.4,1202071
Sat Oct 24 14:43:22 GMT 2020,7.4,1203514
Sat Oct 24 14:43:23 GMT 2020,7.4,1201986
Sat Oct 24 14:43:25 GMT 2020,7.4,1203284
Sat Oct 24 14:43:26 GMT 2020,25,1201229
Sat Oct 24 14:43:27 GMT 2020,25,1201531
Sat Oct 24 14:43:29 GMT 2020,25,1201135
Sat Oct 24 14:43:30 GMT 2020,25,1202494
Sat Oct 24 14:43:31 GMT 2020,14,1201354
Sat Oct 24 14:43:33 GMT 2020,14,1201326
Sat Oct 24 14:43:34 GMT 2020,14,1201402
Sat Oct 24 14:43:35 GMT 2020,14,1202616
Sat Oct 24 14:43:37 GMT 2020,13,1201407
Sat Oct 24 14:43:38 GMT 2020,13,1200077
Sat Oct 24 14:43:39 GMT 2020,13,1200289
Sat Oct 24 14:43:41 GMT 2020,13,1201550
Sat Oct 24 14:43:42 GMT 2020,13,1200293
Sat Oct 24 14:43:43 GMT 2020,13,1200337
Sat Oct 24 14:43:45 GMT 2020,13,1200083
