datetime,cpu,mem
Sat Oct 24 14:37:37 GMT 2020,15,1151997
Sat Oct 24 14:37:38 GMT 2020,6.4,1150779
Sat Oct 24 14:37:39 GMT 2020,6.4,1193640
Sat Oct 24 14:37:40 GMT 2020,6.4,1191713
Sat Oct 24 14:37:42 GMT 2020,6.4,1192519
Sat Oct 24 14:37:43 GMT 2020,6.4,1193808
Sat Oct 24 14:37:44 GMT 2020,26,1191395
Sat Oct 24 14:37:45 GMT 2020,26,1191115
Sat Oct 24 14:37:47 GMT 2020,26,1191207
Sat Oct 24 14:37:48 GMT 2020,26,1192603
Sat Oct 24 14:37:49 GMT 2020,14,1191407
Sat Oct 24 14:37:51 GMT 2020,14,1191275
Sat Oct 24 14:37:52 GMT 2020,14,1191511
Sat Oct 24 14:37:53 GMT 2020,14,1192853
Sat Oct 24 14:37:55 GMT 2020,13,1191464
Sat Oct 24 14:37:56 GMT 2020,13,1189650
Sat Oct 24 14:37:57 GMT 2020,13,1189834
Sat Oct 24 14:37:58 GMT 2020,13,1191199
Sat Oct 24 14:38:00 GMT 2020,14,1189834
Sat Oct 24 14:38:01 GMT 2020,14,1189986
Sat Oct 24 14:38:02 GMT 2020,14,1189934
Sat Oct 24 14:38:04 GMT 2020,14,1192246
