datetime,cpu,mem
Sat Oct 24 14:54:43 GMT 2020,13,1201164
Sat Oct 24 14:54:44 GMT 2020,9.4,1200684
Sat Oct 24 14:54:46 GMT 2020,9.4,1228046
Sat Oct 24 14:54:47 GMT 2020,9.4,1239097
Sat Oct 24 14:54:48 GMT 2020,9.4,1237567
Sat Oct 24 14:54:49 GMT 2020,9.4,1240637
Sat Oct 24 14:54:51 GMT 2020,31,1240415
Sat Oct 24 14:54:52 GMT 2020,31,1239475
Sat Oct 24 14:54:54 GMT 2020,31,1237727
Sat Oct 24 14:54:55 GMT 2020,31,1231459
Sat Oct 24 14:54:56 GMT 2020,15,1230198
Sat Oct 24 14:54:58 GMT 2020,15,1230426
Sat Oct 24 14:54:59 GMT 2020,15,1230898
Sat Oct 24 14:55:00 GMT 2020,15,1232315
Sat Oct 24 14:55:02 GMT 2020,14,1231062
Sat Oct 24 14:55:03 GMT 2020,14,1229878
Sat Oct 24 14:55:05 GMT 2020,14,1229954
Sat Oct 24 14:55:06 GMT 2020,14,1231639
Sat Oct 24 14:55:07 GMT 2020,14,1230326
Sat Oct 24 14:55:09 GMT 2020,14,1229902
Sat Oct 24 14:55:10 GMT 2020,14,1230133
