datetime,cpu,mem
Sat Oct 24 14:49:01 GMT 2020,14,1174115
Sat Oct 24 14:49:02 GMT 2020,8.7,1172654
Sat Oct 24 14:49:03 GMT 2020,8.7,1207962
Sat Oct 24 14:49:04 GMT 2020,8.7,1240274
Sat Oct 24 14:49:06 GMT 2020,8.7,1235586
Sat Oct 24 14:49:07 GMT 2020,8.7,1239332
Sat Oct 24 14:49:08 GMT 2020,30,1236753
Sat Oct 24 14:49:10 GMT 2020,30,1236133
Sat Oct 24 14:49:11 GMT 2020,30,1233865
Sat Oct 24 14:49:13 GMT 2020,30,1228080
Sat Oct 24 14:49:14 GMT 2020,16,1227029
Sat Oct 24 14:49:15 GMT 2020,16,1227149
Sat Oct 24 14:49:17 GMT 2020,16,1227077
Sat Oct 24 14:49:18 GMT 2020,16,1228663
Sat Oct 24 14:49:19 GMT 2020,13,1227434
Sat Oct 24 14:49:21 GMT 2020,13,1225934
Sat Oct 24 14:49:22 GMT 2020,13,1226026
Sat Oct 24 14:49:23 GMT 2020,13,1227171
Sat Oct 24 14:49:25 GMT 2020,13,1226166
Sat Oct 24 14:49:26 GMT 2020,13,1226010
Sat Oct 24 14:49:28 GMT 2020,13,1224998
