datetime,cpu,mem
Sat Oct 24 14:45:35 GMT 2020,13,1183331
Sat Oct 24 14:45:36 GMT 2020,9,1183355
Sat Oct 24 14:45:38 GMT 2020,9,1238505
Sat Oct 24 14:45:39 GMT 2020,9,1232993
Sat Oct 24 14:45:40 GMT 2020,9,1226801
Sat Oct 24 14:45:41 GMT 2020,9,1229069
Sat Oct 24 14:45:43 GMT 2020,32,1228955
Sat Oct 24 14:45:44 GMT 2020,32,1228127
Sat Oct 24 14:45:45 GMT 2020,32,1217763
Sat Oct 24 14:45:47 GMT 2020,32,1219382
Sat Oct 24 14:45:48 GMT 2020,15,1218177
Sat Oct 24 14:45:50 GMT 2020,15,1218265
Sat Oct 24 14:45:51 GMT 2020,15,1218177
Sat Oct 24 14:45:52 GMT 2020,15,1219846
Sat Oct 24 14:45:54 GMT 2020,13,1218557
Sat Oct 24 14:45:55 GMT 2020,13,1217321
Sat Oct 24 14:45:56 GMT 2020,13,1217481
Sat Oct 24 14:45:58 GMT 2020,13,1219078
Sat Oct 24 14:45:59 GMT 2020,14,1218049
Sat Oct 24 14:46:00 GMT 2020,14,1217653
Sat Oct 24 14:46:02 GMT 2020,14,1218366
