datetime,cpu,mem
Sat Oct 24 14:05:46 GMT 2020,28,1135591
Sat Oct 24 14:05:47 GMT 2020,8.7,1134988
Sat Oct 24 14:05:48 GMT 2020,8.7,1150601
Sat Oct 24 14:05:49 GMT 2020,8.7,1150910
Sat Oct 24 14:05:51 GMT 2020,8.7,1151142
Sat Oct 24 14:05:52 GMT 2020,8.7,1151970
Sat Oct 24 14:05:53 GMT 2020,32,1150218
Sat Oct 24 14:05:54 GMT 2020,32,1149872
Sat Oct 24 14:05:55 GMT 2020,32,1151244
Sat Oct 24 14:05:56 GMT 2020,32,1151283
Sat Oct 24 14:05:58 GMT 2020,32,1152643
Sat Oct 24 14:05:59 GMT 2020,28,1151631
Sat Oct 24 14:06:00 GMT 2020,28,1151775
Sat Oct 24 14:06:01 GMT 2020,28,1151967
Sat Oct 24 14:06:02 GMT 2020,28,1152128
Sat Oct 24 14:06:04 GMT 2020,28,1153642
Sat Oct 24 14:06:05 GMT 2020,28,1152208
Sat Oct 24 14:06:06 GMT 2020,28,1152324
Sat Oct 24 14:06:07 GMT 2020,28,1152596
Sat Oct 24 14:06:08 GMT 2020,28,1152808
Sat Oct 24 14:06:10 GMT 2020,28,1154274
Sat Oct 24 14:06:11 GMT 2020,27,1153354
Sat Oct 24 14:06:12 GMT 2020,27,1153104
