datetime,cpu,mem
Sat Oct 24 14:04:38 GMT 2020,28,1133295
Sat Oct 24 14:04:39 GMT 2020,8.5,1132074
Sat Oct 24 14:04:40 GMT 2020,8.5,1162489
Sat Oct 24 14:04:41 GMT 2020,8.5,1163012
Sat Oct 24 14:04:42 GMT 2020,8.5,1163478
Sat Oct 24 14:04:43 GMT 2020,8.5,1164182
Sat Oct 24 14:04:45 GMT 2020,31,1162301
Sat Oct 24 14:04:46 GMT 2020,31,1161922
Sat Oct 24 14:04:47 GMT 2020,31,1163406
Sat Oct 24 14:04:48 GMT 2020,31,1163402
Sat Oct 24 14:04:49 GMT 2020,31,1164779
Sat Oct 24 14:04:51 GMT 2020,28,1163473
Sat Oct 24 14:04:52 GMT 2020,28,1163819
Sat Oct 24 14:04:53 GMT 2020,28,1164031
Sat Oct 24 14:04:54 GMT 2020,28,1164191
Sat Oct 24 14:04:55 GMT 2020,28,1165517
Sat Oct 24 14:04:57 GMT 2020,28,1164363
Sat Oct 24 14:04:58 GMT 2020,28,1164459
Sat Oct 24 14:04:59 GMT 2020,28,1164699
Sat Oct 24 14:05:00 GMT 2020,28,1164995
Sat Oct 24 14:05:01 GMT 2020,28,1166441
Sat Oct 24 14:05:02 GMT 2020,28,1165162
Sat Oct 24 14:05:04 GMT 2020,28,1164941
