datetime,cpu,mem
Sat Oct 24 14:17:07 GMT 2020,16,1132103
Sat Oct 24 14:17:08 GMT 2020,8.2,1130660
Sat Oct 24 14:17:09 GMT 2020,8.2,1164123
Sat Oct 24 14:17:11 GMT 2020,8.2,1165115
Sat Oct 24 14:17:12 GMT 2020,8.2,1164832
Sat Oct 24 14:17:13 GMT 2020,8.2,1165915
Sat Oct 24 14:17:15 GMT 2020,23,1164274
Sat Oct 24 14:17:16 GMT 2020,23,1164162
Sat Oct 24 14:17:17 GMT 2020,23,1164406
Sat Oct 24 14:17:18 GMT 2020,23,1165628
Sat Oct 24 14:17:20 GMT 2020,13,1164566
Sat Oct 24 14:17:21 GMT 2020,13,1164566
Sat Oct 24 14:17:22 GMT 2020,13,1164594
Sat Oct 24 14:17:24 GMT 2020,13,1166228
Sat Oct 24 14:17:25 GMT 2020,13,1164890
Sat Oct 24 14:17:26 GMT 2020,13,1164954
Sat Oct 24 14:17:28 GMT 2020,13,1165014
Sat Oct 24 14:17:29 GMT 2020,13,1166320
Sat Oct 24 14:17:30 GMT 2020,13,1165218
Sat Oct 24 14:17:31 GMT 2020,13,1165282
Sat Oct 24 14:17:33 GMT 2020,13,1165062
Sat Oct 24 14:17:34 GMT 2020,13,1168425
