datetime,cpu,mem
Sat Oct 24 14:18:15 GMT 2020,16,1154727
Sat Oct 24 14:18:17 GMT 2020,5.9,1153762
Sat Oct 24 14:18:18 GMT 2020,5.9,1169786
Sat Oct 24 14:18:19 GMT 2020,5.9,1170185
Sat Oct 24 14:18:20 GMT 2020,5.9,1170265
Sat Oct 24 14:18:21 GMT 2020,5.9,1171358
Sat Oct 24 14:18:23 GMT 2020,22,1169396
Sat Oct 24 14:18:24 GMT 2020,22,1169372
Sat Oct 24 14:18:25 GMT 2020,22,1169352
Sat Oct 24 14:18:27 GMT 2020,22,1170871
Sat Oct 24 14:18:28 GMT 2020,13,1169596
Sat Oct 24 14:18:29 GMT 2020,13,1169680
Sat Oct 24 14:18:31 GMT 2020,13,1170296
Sat Oct 24 14:18:32 GMT 2020,13,1171720
Sat Oct 24 14:18:33 GMT 2020,13,1170474
Sat Oct 24 14:18:35 GMT 2020,13,1170710
Sat Oct 24 14:18:36 GMT 2020,13,1170546
Sat Oct 24 14:18:37 GMT 2020,13,1171832
Sat Oct 24 14:18:39 GMT 2020,13,1170778
Sat Oct 24 14:18:40 GMT 2020,13,1170678
Sat Oct 24 14:18:41 GMT 2020,13,1170363
Sat Oct 24 14:18:42 GMT 2020,13,1172780
