datetime,cpu,mem
Sat Oct 24 15:01:34 GMT 2020,9.9,1123297
Sat Oct 24 15:01:36 GMT 2020,6.6,1124381
Sat Oct 24 15:01:37 GMT 2020,6.6,1166303
Sat Oct 24 15:01:38 GMT 2020,6.6,1165101
Sat Oct 24 15:01:39 GMT 2020,6.6,1160105
Sat Oct 24 15:01:41 GMT 2020,34,1160093
Sat Oct 24 15:01:42 GMT 2020,34,1160843
Sat Oct 24 15:01:43 GMT 2020,34,1159043
Sat Oct 24 15:01:45 GMT 2020,34,1155430
Sat Oct 24 15:01:47 GMT 2020,21,1154098
Sat Oct 24 15:01:48 GMT 2020,21,1154296
Sat Oct 24 15:01:49 GMT 2020,21,1154556
Sat Oct 24 15:01:51 GMT 2020,21,1155451
Sat Oct 24 15:01:52 GMT 2020,20,1153842
Sat Oct 24 15:01:53 GMT 2020,20,1152334
Sat Oct 24 15:01:55 GMT 2020,20,1152450
Sat Oct 24 15:01:56 GMT 2020,20,1153895
Sat Oct 24 15:01:58 GMT 2020,17,1154463
Sat Oct 24 15:01:59 GMT 2020,17,1154489
Sat Oct 24 15:02:00 GMT 2020,17,1153845
