datetime,cpu,mem
Sat Oct 24 15:03:51 GMT 2020,22,1151501
Sat Oct 24 15:03:53 GMT 2020,8.2,1149563
Sat Oct 24 15:03:54 GMT 2020,8.2,1174177
Sat Oct 24 15:03:55 GMT 2020,8.2,1172536
Sat Oct 24 15:03:57 GMT 2020,8.2,1166538
Sat Oct 24 15:03:58 GMT 2020,33,1165589
Sat Oct 24 15:03:59 GMT 2020,33,1164756
Sat Oct 24 15:04:01 GMT 2020,33,1162940
Sat Oct 24 15:04:02 GMT 2020,33,1159221
Sat Oct 24 15:04:03 GMT 2020,22,1158222
Sat Oct 24 15:04:05 GMT 2020,22,1158433
Sat Oct 24 15:04:06 GMT 2020,22,1158762
Sat Oct 24 15:04:07 GMT 2020,22,1160015
Sat Oct 24 15:04:09 GMT 2020,21,1158142
Sat Oct 24 15:04:10 GMT 2020,21,1157510
Sat Oct 24 15:04:12 GMT 2020,21,1157562
Sat Oct 24 15:04:13 GMT 2020,21,1159363
Sat Oct 24 15:04:14 GMT 2020,15,1159839
Sat Oct 24 15:04:16 GMT 2020,15,1159433
Sat Oct 24 15:04:17 GMT 2020,15,1159171
Sat Oct 24 15:04:18 GMT 2020,15,1157654
