datetime,cpu,mem
Sat Oct 24 14:55:52 GMT 2020,14,1205336
Sat Oct 24 14:55:53 GMT 2020,9.7,1204855
Sat Oct 24 14:55:54 GMT 2020,9.7,1243036
Sat Oct 24 14:55:55 GMT 2020,9.7,1241927
Sat Oct 24 14:55:57 GMT 2020,9.7,1218714
Sat Oct 24 14:55:58 GMT 2020,9.7,1221982
Sat Oct 24 14:55:59 GMT 2020,35,1220152
Sat Oct 24 14:56:00 GMT 2020,35,1221536
Sat Oct 24 14:56:02 GMT 2020,35,1220318
Sat Oct 24 14:56:03 GMT 2020,35,1217422
Sat Oct 24 14:56:04 GMT 2020,22,1215911
Sat Oct 24 14:56:06 GMT 2020,22,1216525
Sat Oct 24 14:56:07 GMT 2020,22,1216745
Sat Oct 24 14:56:08 GMT 2020,22,1217570
Sat Oct 24 14:56:10 GMT 2020,21,1215537
Sat Oct 24 14:56:11 GMT 2020,21,1215309
Sat Oct 24 14:56:12 GMT 2020,21,1215413
Sat Oct 24 14:56:14 GMT 2020,21,1217110
Sat Oct 24 14:56:15 GMT 2020,16,1218558
Sat Oct 24 14:56:16 GMT 2020,16,1218832
Sat Oct 24 14:56:18 GMT 2020,16,1218412
