datetime,cpu,mem
Sat Oct 24 14:59:17 GMT 2020,20,1195100
Sat Oct 24 14:59:19 GMT 2020,8.8,1195852
Sat Oct 24 14:59:20 GMT 2020,8.8,1238302
Sat Oct 24 14:59:21 GMT 2020,8.8,1250484
Sat Oct 24 14:59:22 GMT 2020,8.8,1241292
Sat Oct 24 14:59:24 GMT 2020,34,1240754
Sat Oct 24 14:59:25 GMT 2020,34,1241101
Sat Oct 24 14:59:26 GMT 2020,34,1242379
Sat Oct 24 14:59:28 GMT 2020,34,1236786
Sat Oct 24 14:59:29 GMT 2020,22,1235878
Sat Oct 24 14:59:30 GMT 2020,22,1235828
Sat Oct 24 14:59:32 GMT 2020,22,1236193
Sat Oct 24 14:59:33 GMT 2020,22,1237398
Sat Oct 24 14:59:35 GMT 2020,21,1235559
Sat Oct 24 14:59:36 GMT 2020,21,1235119
Sat Oct 24 14:59:37 GMT 2020,21,1233383
Sat Oct 24 14:59:39 GMT 2020,21,1235084
Sat Oct 24 14:59:40 GMT 2020,15,1234685
Sat Oct 24 14:59:41 GMT 2020,15,1237147
Sat Oct 24 14:59:42 GMT 2020,15,1236957
Sat Oct 24 14:59:44 GMT 2020,15,1252843
