Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.818,26.818,screen dark,8.321316993000002
0,26.818,26.818,wifi running,0.2826107658
0.0,6.209621999994852,6.209621999994852,core 0 cpu_idle start,0.1352377430361679
0.0,6.210339999990538,6.210339999990538,core 1 cpu_idle start,0.13525338017139393
0.0,6.210495000006631,6.210495000006631,core 2 cpu_idle start,0.13525675587644442
0.0,6.211223999998765,6.211223999998765,core 3 cpu_idle start,0.13527263257773312
0.0,6.209376999991946,6.209376999991946,core 4 cpu_idle start,0.1352324072448046
0.0,6.724201000004541,6.724201000004541,core 5 cpu_idle start,0.1464446252868389
0.0,6.299051999987569,6.299051999987569,core 6 cpu_idle start,0.13718541575420928
0.0,13.516876000008779,13.516876000008779,core 7 cpu_idle start,0.2943805280164312
