Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.743,26.743,screen dark,8.7019983705
0,26.743,26.743,wifi running,0.29553956730000003
0.0,6.137219999975059,6.137219999975059,core 0 cpu_idle start,0.14016759934623038
0.0,6.12951499997871,6.12951499997871,core 1 cpu_idle start,0.13999162531361375
0.0,6.137203999998746,6.137203999998746,core 2 cpu_idle start,0.14016723392373137
0.0,6.13721099999384,6.13721099999384,core 3 cpu_idle start,0.1401673937961993
0.0,6.1298119999992196,6.1298119999992196,core 4 cpu_idle start,0.13999840847926218
0.0,6.131250999984331,6.131250999984331,core 5 cpu_idle start,0.14003127371358215
0.0,6.218803999974625,6.218803999974625,core 6 cpu_idle start,0.14203089142718045
0.0,6.188955999998143,6.188955999998143,core 7 cpu_idle start,0.14134919474659757
