datetime,cpu,mem
Sat Oct 24 13:46:02 GMT 2020,13,1160054
Sat Oct 24 13:46:03 GMT 2020,6.6,1186481
Sat Oct 24 13:46:05 GMT 2020,6.6,1705796
Sat Oct 24 13:46:06 GMT 2020,6.6,1820516
Sat Oct 24 13:46:07 GMT 2020,6.6,1907547
Sat Oct 24 13:46:08 GMT 2020,6.6,1514672
Sat Oct 24 13:46:10 GMT 2020,31,1513066
Sat Oct 24 13:46:11 GMT 2020,31,1512730
Sat Oct 24 13:46:12 GMT 2020,31,1512894
Sat Oct 24 13:46:14 GMT 2020,31,1513770
Sat Oct 24 13:46:15 GMT 2020,15,1512717
Sat Oct 24 13:46:17 GMT 2020,15,1512781
Sat Oct 24 13:46:18 GMT 2020,15,1512809
Sat Oct 24 13:46:19 GMT 2020,15,1514003
Sat Oct 24 13:46:21 GMT 2020,13,1509694
Sat Oct 24 13:46:22 GMT 2020,13,1509870
Sat Oct 24 13:46:23 GMT 2020,13,1509934
Sat Oct 24 13:46:25 GMT 2020,13,1511315
Sat Oct 24 13:46:26 GMT 2020,14,1508930
Sat Oct 24 13:46:28 GMT 2020,14,1508798
Sat Oct 24 13:46:29 GMT 2020,14,1509636
