datetime,cpu,mem
Sat Oct 24 13:49:20 GMT 2020,14,1146389
Sat Oct 24 13:49:21 GMT 2020,7,1142750
Sat Oct 24 13:49:22 GMT 2020,7,1384392
Sat Oct 24 13:49:23 GMT 2020,7,2017734
Sat Oct 24 13:49:24 GMT 2020,7,2048090
Sat Oct 24 13:49:26 GMT 2020,7,1622140
Sat Oct 24 13:49:27 GMT 2020,33,1617639
Sat Oct 24 13:49:28 GMT 2020,33,1521673
Sat Oct 24 13:49:30 GMT 2020,33,1521017
Sat Oct 24 13:49:31 GMT 2020,33,1522480
Sat Oct 24 13:49:33 GMT 2020,13,1521345
Sat Oct 24 13:49:34 GMT 2020,13,1521381
Sat Oct 24 13:49:35 GMT 2020,13,1521799
Sat Oct 24 13:49:37 GMT 2020,13,1523256
Sat Oct 24 13:49:38 GMT 2020,14,1522031
Sat Oct 24 13:49:40 GMT 2020,14,1522287
Sat Oct 24 13:49:41 GMT 2020,14,1522351
Sat Oct 24 13:49:42 GMT 2020,14,1523744
Sat Oct 24 13:49:44 GMT 2020,13,1522399
Sat Oct 24 13:49:45 GMT 2020,13,1522155
Sat Oct 24 13:49:47 GMT 2020,13,1520028
