datetime,cpu,mem
Sat Oct 24 13:41:06 GMT 2020,13,1160666
Sat Oct 24 13:41:07 GMT 2020,6.6,1160198
Sat Oct 24 13:41:08 GMT 2020,6.6,1596735
Sat Oct 24 13:41:10 GMT 2020,6.6,1931585
Sat Oct 24 13:41:11 GMT 2020,6.6,2044393
Sat Oct 24 13:41:12 GMT 2020,6.6,1914205
Sat Oct 24 13:41:13 GMT 2020,33,1720000
Sat Oct 24 13:41:15 GMT 2020,33,1641032
Sat Oct 24 13:41:16 GMT 2020,33,1641037
Sat Oct 24 13:41:17 GMT 2020,33,1642374
Sat Oct 24 13:41:19 GMT 2020,13,1641194
Sat Oct 24 13:41:20 GMT 2020,13,1641246
Sat Oct 24 13:41:21 GMT 2020,13,1641360
Sat Oct 24 13:41:23 GMT 2020,13,1642561
Sat Oct 24 13:41:24 GMT 2020,13,1641264
Sat Oct 24 13:41:26 GMT 2020,13,1641396
Sat Oct 24 13:41:27 GMT 2020,13,1641468
Sat Oct 24 13:41:28 GMT 2020,13,1642685
Sat Oct 24 13:41:30 GMT 2020,13,1641424
Sat Oct 24 13:41:31 GMT 2020,13,1641406
Sat Oct 24 13:41:32 GMT 2020,13,1641101
