Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.715,26.715,screen dark,8.6928873525
0,26.715,26.715,wifi running,0.2952301365
0.0,6.040590999997221,6.040590999997221,core 0 cpu_idle start,0.13796069541347653
0.0,5.885309000004781,5.885309000004781,core 1 cpu_idle start,0.1344142191325692
0.0,5.889523999998346,5.889523999998346,core 2 cpu_idle start,0.13451048526452222
0.0,5.884200000000419,5.884200000000419,core 3 cpu_idle start,0.13438889074800955
0.0,5.89358900001389,5.89358900001389,core 4 cpu_idle start,0.13460332555597723
0.0,5.8860639999911655,5.8860639999911655,core 5 cpu_idle start,0.13443146253195823
0.0,5.897533000010299,5.897533000010299,core 6 cpu_idle start,0.1346934023352552
0.0,5.890713000000687,5.890713000000687,core 7 cpu_idle start,0.1345376407642357
