Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.607,26.607,screen dark,8.255846119500001
0,26.607,26.607,wifi running,0.2803872267
0.0,6.069450000009965,6.069450000009965,core 0 cpu_idle start,0.13218497349321703
6.069450000009965,31.002999999996973,24.933549999987008,core 0 cpu_idle,0.5430213027267171
0.0,6.069607999990694,6.069607999990694,core 1 cpu_idle start,0.13218841453371735
6.069607999990694,31.002999999996973,24.93339200000628,core 1 cpu_idle,0.5430178616862168
0.0,6.0701330000010785,6.0701330000010785,core 2 cpu_idle start,0.1321998483724435
6.0701330000010785,31.002999999996973,24.932866999995895,core 2 cpu_idle,0.5430064278474906
0.0,6.069240000011632,6.069240000011632,core 3 cpu_idle start,0.13218039995785336
6.069240000011632,31.002999999996973,24.93375999998534,core 3 cpu_idle,0.5430258762620808
0.0,6.088046999997459,6.088046999997459,core 4 cpu_idle start,0.13258999272072466
6.088046999997459,31.002999999996973,24.914952999999514,core 4 cpu_idle,0.5426162834992094
0.0,6.168276000011247,6.168276000011247,core 5 cpu_idle start,0.13433727925248495
6.168276000011247,31.002999999996973,24.834723999985727,core 5 cpu_idle,0.5408689969674492
0.0,6.294002999988152,6.294002999988152,core 6 cpu_idle start,0.13707545489596196
6.294002999988152,31.002999999996973,24.70899700000882,core 6 cpu_idle,0.5381308213239722
0.0,6.1050560000003316,6.1050560000003316,core 7 cpu_idle start,0.13296042730944724
6.1050560000003316,31.002999999996973,24.89794399999664,core 7 cpu_idle,0.5422458489104869
