Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.695,26.695,screen dark,8.3383300725
0,26.695,26.695,wifi running,0.28318856849999996
0.0,6.078241000010166,6.078241000010166,core 0 cpu_idle start,0.1332582616008429
0.0,6.076886000024388,6.076886000024388,core 1 cpu_idle start,0.13322855482505466
0.0,6.0770250000059605,6.0770250000059605,core 2 cpu_idle start,0.1332316022356307
0.0,6.0775030000077095,6.0775030000077095,core 3 cpu_idle start,0.13324208182162903
0.0,6.123441000003368,6.123441000003368,core 4 cpu_idle start,0.13424921826469383
0.0,6.092564000020502,6.092564000020502,core 5 cpu_idle start,0.13357227647492947
0.0,6.09025800001109,6.09025800001109,core 6 cpu_idle start,0.13352172014580313
0.0,6.09003400002257,6.09003400002257,core 7 cpu_idle start,0.13351680921037481
