Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.813,26.813,screen dark,8.3197655505
0,26.813,26.813,wifi running,0.2825580753
0.0,6.374389000004157,6.374389000004157,core 0 cpu_idle start,0.13882616068995055
6.374389000004157,31.018000000010943,24.643611000006786,core 0 cpu_idle,0.5367067966302879
0.0,6.371948000014527,6.371948000014527,core 1 cpu_idle start,0.13877299878583638
6.371948000014527,31.018000000010943,24.646051999996416,core 1 cpu_idle,0.536759958534402
0.0,6.5335180000110995,6.5335180000110995,core 2 cpu_idle start,0.14229178980756174
6.5335180000110995,31.018000000010943,24.484481999999844,core 2 cpu_idle,0.5332411675126766
0.0,6.4763200000161305,6.4763200000161305,core 3 cpu_idle start,0.1410460894371513
6.4763200000161305,31.018000000010943,24.541679999994813,core 3 cpu_idle,0.5344868678830871
0.0,6.530647000006866,6.530647000006866,core 4 cpu_idle start,0.14222926304492953
6.530647000006866,6.531293000007281,0.0006460000004153699,core 4 cpu_idle,1.4069066049046232e-05
6.531293000007281,6.5314479999942705,0.00015499998698942363,core 4 cpu_frequency,3.37570441664604e-06
6.5314479999942705,31.018000000010943,24.486552000016673,core 4 cpu_idle,0.5332862495048432
0.0,6.5313029999961145,6.5313029999961145,core 5 cpu_idle start,0.1422435498981354
6.5313029999961145,6.53294200001983,0.001639000023715198,core 5 cpu_frequency,3.569535537648713e-05
6.53294200001983,31.018000000010943,24.485057999991113,core 5 cpu_idle,0.5332537120667264
0.0,6.531308000005083,6.531308000005083,core 6 cpu_idle start,0.1422436587920307
6.531308000005083,6.534107000014046,0.0027990000089630485,core 6 cpu_frequency,6.0958693455203906e-05
6.534107000014046,31.018000000010943,24.483892999996897,core 6 cpu_idle,0.5332283398347525
0.0,6.531312000006437,6.531312000006437,core 7 cpu_idle start,0.1422437459070202
6.531312000006437,6.535222000005888,0.00390999999945052,core 7 cpu_frequency,8.515487338803302e-05
6.535222000005888,31.018000000010943,24.482778000005055,core 7 cpu_idle,0.5332040565398302
