datetime,cpu,mem
Sat Oct 24 13:15:00 GMT 2020,2.5,1164362
Sat Oct 24 13:15:01 GMT 2020,2.5,1185559
Sat Oct 24 13:15:02 GMT 2020,13,1191323
Sat Oct 24 13:15:03 GMT 2020,13,1204385
Sat Oct 24 13:15:04 GMT 2020,13,1203203
Sat Oct 24 13:15:05 GMT 2020,13,1200813
Sat Oct 24 13:15:07 GMT 2020,13,1200503
Sat Oct 24 13:15:08 GMT 2020,20,1199042
Sat Oct 24 13:15:09 GMT 2020,20,1199106
Sat Oct 24 13:15:11 GMT 2020,20,1199129
Sat Oct 24 13:15:12 GMT 2020,20,1200704
Sat Oct 24 13:15:13 GMT 2020,14,1199639
Sat Oct 24 13:15:14 GMT 2020,14,1199595
Sat Oct 24 13:15:16 GMT 2020,14,1199567
Sat Oct 24 13:15:17 GMT 2020,14,1201033
Sat Oct 24 13:15:18 GMT 2020,13,1198484
Sat Oct 24 13:15:19 GMT 2020,13,1198620
Sat Oct 24 13:15:21 GMT 2020,13,1198776
Sat Oct 24 13:15:22 GMT 2020,13,1200029
Sat Oct 24 13:15:23 GMT 2020,13,1198784
Sat Oct 24 13:15:24 GMT 2020,13,1198904
Sat Oct 24 13:15:26 GMT 2020,13,1198709
