datetime,cpu,mem
Sat Oct 24 13:26:27 GMT 2020,13,1147406
Sat Oct 24 13:26:28 GMT 2020,6.5,1146677
Sat Oct 24 13:26:29 GMT 2020,6.5,1163556
Sat Oct 24 13:26:30 GMT 2020,6.5,1191053
Sat Oct 24 13:26:31 GMT 2020,6.5,1190105
Sat Oct 24 13:26:32 GMT 2020,6.5,1190041
Sat Oct 24 13:26:34 GMT 2020,24,1188536
Sat Oct 24 13:26:35 GMT 2020,24,1188400
Sat Oct 24 13:26:36 GMT 2020,24,1188500
Sat Oct 24 13:26:37 GMT 2020,24,1188531
Sat Oct 24 13:26:39 GMT 2020,24,1189885
Sat Oct 24 13:26:40 GMT 2020,14,1188723
Sat Oct 24 13:26:41 GMT 2020,14,1188767
Sat Oct 24 13:26:42 GMT 2020,14,1188811
Sat Oct 24 13:26:43 GMT 2020,14,1188813
Sat Oct 24 13:26:45 GMT 2020,14,1190291
Sat Oct 24 13:26:46 GMT 2020,13,1187618
Sat Oct 24 13:26:47 GMT 2020,13,1187718
Sat Oct 24 13:26:48 GMT 2020,13,1187762
Sat Oct 24 13:26:50 GMT 2020,13,1187734
Sat Oct 24 13:26:51 GMT 2020,13,1189208
Sat Oct 24 13:26:52 GMT 2020,13,1187674
Sat Oct 24 13:26:53 GMT 2020,13,1187902
