datetime,cpu,mem
Sat Oct 24 13:19:54 GMT 2020,13,1122673
Sat Oct 24 13:19:55 GMT 2020,5.6,1121220
Sat Oct 24 13:19:56 GMT 2020,5.6,1149583
Sat Oct 24 13:19:57 GMT 2020,5.6,1149824
Sat Oct 24 13:19:59 GMT 2020,5.6,1147956
Sat Oct 24 13:20:00 GMT 2020,5.6,1148075
Sat Oct 24 13:20:01 GMT 2020,24,1142794
Sat Oct 24 13:20:02 GMT 2020,24,1142746
Sat Oct 24 13:20:03 GMT 2020,24,1142958
Sat Oct 24 13:20:05 GMT 2020,24,1142978
Sat Oct 24 13:20:06 GMT 2020,24,1144408
Sat Oct 24 13:20:07 GMT 2020,14,1142970
Sat Oct 24 13:20:08 GMT 2020,14,1143010
Sat Oct 24 13:20:09 GMT 2020,14,1142994
Sat Oct 24 13:20:11 GMT 2020,14,1143138
Sat Oct 24 13:20:12 GMT 2020,14,1144704
Sat Oct 24 13:20:13 GMT 2020,13,1142205
Sat Oct 24 13:20:14 GMT 2020,13,1139070
Sat Oct 24 13:20:15 GMT 2020,13,1139182
Sat Oct 24 13:20:17 GMT 2020,13,1139246
Sat Oct 24 13:20:18 GMT 2020,13,1140572
Sat Oct 24 13:20:19 GMT 2020,13,1138134
Sat Oct 24 13:20:20 GMT 2020,13,1137858
