datetime,cpu,mem
Sat Oct 24 13:16:38 GMT 2020,4.6,1164475
Sat Oct 24 13:16:39 GMT 2020,4.8,1164064
Sat Oct 24 13:16:40 GMT 2020,4.8,1183677
Sat Oct 24 13:16:41 GMT 2020,4.8,1183123
Sat Oct 24 13:16:42 GMT 2020,4.8,1182275
Sat Oct 24 13:16:43 GMT 2020,4.8,1182316
Sat Oct 24 13:16:45 GMT 2020,24,1178494
Sat Oct 24 13:16:46 GMT 2020,24,1178526
Sat Oct 24 13:16:47 GMT 2020,24,1178606
Sat Oct 24 13:16:48 GMT 2020,24,1178674
Sat Oct 24 13:16:49 GMT 2020,24,1180217
Sat Oct 24 13:16:51 GMT 2020,14,1178607
Sat Oct 24 13:16:52 GMT 2020,14,1178895
Sat Oct 24 13:16:53 GMT 2020,14,1178819
Sat Oct 24 13:16:54 GMT 2020,14,1179017
Sat Oct 24 13:16:55 GMT 2020,14,1180482
Sat Oct 24 13:16:57 GMT 2020,13,1177998
Sat Oct 24 13:16:58 GMT 2020,13,1178078
Sat Oct 24 13:16:59 GMT 2020,13,1178618
Sat Oct 24 13:17:00 GMT 2020,13,1178826
Sat Oct 24 13:17:01 GMT 2020,13,1180232
Sat Oct 24 13:17:03 GMT 2020,14,1178706
Sat Oct 24 13:17:04 GMT 2020,14,1178486
