Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.671,26.671,screen dark,8.2757045835
0,26.671,26.671,wifi running,0.28106166509999997
0.0,5.958114999986719,5.958114999986719,core 0 cpu_idle start,0.12976023747481077
0.0,5.958430999977281,5.958430999977281,core 1 cpu_idle start,0.1297671195564452
0.0,5.958549000002677,5.958549000002677,core 2 cpu_idle start,0.1297696894483183
0.0,5.958415000000969,5.958415000000969,core 3 cpu_idle start,0.1297667710971211
0.0,5.963747999980114,5.963747999980114,core 4 cpu_idle start,0.12988291711708694
0.0,5.964204999996582,5.964204999996582,core 5 cpu_idle start,0.12989287000162558
0.0,6.023408999986714,6.023408999986714,core 6 cpu_idle start,0.13118225852437065
0.0,10.862292999983765,10.862292999983765,core 7 cpu_idle start,0.23656705505046643
