Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.736,26.736,screen dark,8.295873336000001
0,26.736,26.736,wifi running,0.2817466416
0.0,6.19863900000928,6.19863900000928,core 0 cpu_idle start,0.1349985471350621
6.19863900000928,30.896000000007916,24.697360999998637,core 0 cpu_idle,0.5378774039051103
0.0,6.256964000000153,6.256964000000153,core 1 cpu_idle start,0.13626879214536333
6.256964000000153,30.896000000007916,24.639036000007764,core 1 cpu_idle,0.5366071588948091
0.0,6.198778999998467,6.198778999998467,core 2 cpu_idle start,0.13500159615842663
6.198778999998467,30.896000000007916,24.69722100000945,core 2 cpu_idle,0.5378743548817458
0.0,6.204135999985738,6.204135999985738,core 3 cpu_idle start,0.1351182648683294
6.204135999985738,30.896000000007916,24.69186400002218,core 3 cpu_idle,0.537757686171843
0.0,6.248908999987179,6.248908999987179,core 4 cpu_idle start,0.1360933643943808
6.248908999987179,6.251113999984227,0.0022049999970477074,core 4 cpu_idle,4.8022121635702794e-05
6.251113999984227,6.251801000005798,0.0006870000215712935,core 4 cpu_frequency,1.4961994849795593e-05
6.251801000005798,30.896000000007916,24.644199000002118,core 4 cpu_idle,0.5367196025293062
0.0,6.251144000008935,6.251144000008935,core 5 cpu_idle start,0.13614203987875462
6.251144000008935,6.252795000007609,0.0016509999986737967,core 5 cpu_frequency,3.595669971111696e-05
6.252795000007609,30.896000000007916,24.643205000000307,core 5 cpu_idle,0.5366979544617068
0.0,6.251152999990154,6.251152999990154,core 6 cpu_idle start,0.13614223588700558
6.251152999990154,6.255711000005249,0.004558000015094876,core 6 cpu_frequency,9.92674972487474e-05
6.255711000005249,30.896000000007916,24.640289000002667,core 6 cpu_idle,0.5366344476559182
0.0,6.251159000006737,6.251159000006737,core 7 cpu_idle start,0.13614236655980674
6.251159000006737,6.259258999984013,0.00809999997727573,core 7 cpu_frequency,0.00017640779350509402
6.259258999984013,30.896000000007916,24.636741000023903,core 7 cpu_idle,0.5365571766868606
