Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.722,26.722,screen dark,8.291529297
0,26.722,26.722,wifi running,0.2815991082
0.0,6.108814000006532,6.108814000006532,core 0 cpu_idle start,0.13304227181450226
0.0,6.1115890000073705,6.1115890000073705,core 1 cpu_idle start,0.13310270781802053
0.0,6.107820000004722,6.107820000004722,core 2 cpu_idle start,0.13302062374690285
0.0,6.109209000016563,6.109209000016563,core 3 cpu_idle start,0.1330508744170207
0.0,6.197102000005543,6.197102000005543,core 4 cpu_idle start,0.13496507321160073
0.0,7.979033000010531,7.979033000010531,core 5 cpu_idle start,0.17377328515864937
0.0,7.979508999997051,7.979508999997051,core 6 cpu_idle start,0.1737836518385958
0.0,7.982210000016494,7.982210000016494,core 7 cpu_idle start,0.1738424762157592
