Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.703,26.703,screen dark,9.090208557
0,26.703,26.703,wifi running,0.30872406420000004
0.0,6.1352049999986775,6.1352049999986775,core 0 cpu_idle start,0.14659188877976842
6.1352049999986775,30.931999999971595,24.796794999972917,core 0 cpu_idle,0.592483709139553
0.0,6.1300800000317395,6.1300800000317395,core 1 cpu_idle start,0.14646943428555836
6.1300800000317395,30.931999999971595,24.801919999939855,core 1 cpu_idle,0.592606163633763
0.0,6.140740000002552,6.140740000002552,core 2 cpu_idle start,0.146724139634461
6.140740000002552,30.931999999971595,24.791259999969043,core 2 cpu_idle,0.5923514582848604
0.0,6.125822000030894,6.125822000030894,core 3 cpu_idle start,0.14636769550705817
6.125822000030894,30.931999999971595,24.8061779999407,core 3 cpu_idle,0.5927079024122631
0.0,6.126566999999341,6.126566999999341,core 4 cpu_idle start,0.14638549620850425
6.126566999999341,30.931999999971595,24.805432999972254,core 4 cpu_idle,0.592690101710817
0.0,6.130467000009958,6.130467000009958,core 5 cpu_idle start,0.14647868109275794
6.130467000009958,30.931999999971595,24.801532999961637,core 5 cpu_idle,0.5925969168265633
0.0,6.132557000033557,6.132557000033557,core 6 cpu_idle start,0.14652861863372182
6.132557000033557,30.931999999971595,24.799442999938037,core 6 cpu_idle,0.5925469792855995
0.0,6.234472000040114,6.234472000040114,core 7 cpu_idle start,0.14896373080127848
6.234472000040114,30.931999999971595,24.69752799993148,core 7 cpu_idle,0.5901118671180429
