Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,27.267,27.267,screen dark,8.4606365295
0,27.267,27.267,wifi running,0.2873423727
0.0,6.326885000016773,6.326885000016773,core 0 cpu_idle start,0.13779158342526532
6.326885000016773,31.91500000000815,25.588114999991376,core 0 cpu_idle,0.5572769036749122
0.0,6.325047999998787,6.325047999998787,core 1 cpu_idle start,0.1377515758794936
6.325047999998787,31.91500000000815,25.58995200000936,core 1 cpu_idle,0.5573169112206839
0.0,6.328467000013916,6.328467000013916,core 2 cpu_idle start,0.13782603739188307
6.328467000013916,31.91500000000815,25.586532999994233,core 2 cpu_idle,0.5572424497082944
0.0,6.324397000018507,6.324397000018507,core 3 cpu_idle start,0.13773739792018308
6.324397000018507,31.91500000000815,25.590602999989642,core 3 cpu_idle,0.5573310891799944
0.0,6.325337000016589,6.325337000016589,core 4 cpu_idle start,0.1377578699357413
6.325337000016589,31.91500000000815,25.58966299999156,core 4 cpu_idle,0.5573106171644362
0.0,6.323380000016186,6.323380000016186,core 5 cpu_idle start,0.13771524894155251
6.323380000016186,31.91500000000815,25.591619999991963,core 5 cpu_idle,0.557353238158625
0.0,6.32363900000928,6.32363900000928,core 6 cpu_idle start,0.1377208896350621
6.32363900000928,31.91500000000815,25.59136099999887,core 6 cpu_idle,0.5573475974651154
0.0,6.336860000010347,6.336860000010347,core 7 cpu_idle start,0.13800882635662534
6.336860000010347,31.91500000000815,25.578139999997802,core 7 cpu_idle,0.5570596607435522
