Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Football Peek,1,59.472468000000006,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,2,54.7965,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,3,58.88797200000001,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,4,60.05696400000001,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,5,72.76975200000003,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,6,59.76471599999999,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,7,61.664328000000005,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,8,59.76471599999999,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,9,59.61859200000001,1118058.730474308,16.425632411067195
Stale While Revalidate,Football Peek,10,60.05696400000001,1118058.730474308,16.425632411067195
