Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,26.739,26.739,screen dark,8.2968042015
0,26.739,26.739,wifi running,0.2817782559
0.0,6.228827000013553,6.228827000013553,core 0 cpu_idle start,0.13565600373827516
6.228827000013553,30.989000000001397,24.760172999987844,core 0 cpu_idle,0.5392453701217553
0.0,6.121944999991683,6.121944999991683,core 1 cpu_idle start,0.1333282484491189
6.121944999991683,30.989000000001397,24.867055000009714,core 1 cpu_idle,0.5415731254109116
0.0,6.224603999988176,6.224603999988176,core 2 cpu_idle start,0.1355640321187025
6.224603999988176,30.989000000001397,24.76439600001322,core 2 cpu_idle,0.539337341741328
0.0,6.123682000004919,6.123682000004919,core 3 cpu_idle start,0.13336607812078713
6.123682000004919,30.989000000001397,24.865317999996478,core 3 cpu_idle,0.5415352957392433
0.0,6.222125000000233,6.222125000000233,core 4 cpu_idle start,0.13551004262250507
6.222125000000233,6.222677000012482,0.0005520000122487545,core 4 cpu_idle,1.202186474676244e-05
6.222677000012482,6.222719000012148,4.199999966658652e-05,core 4 cpu_frequency,9.147070727386745e-07
6.222719000012148,30.989000000001397,24.76628099998925,core 4 cpu_idle,0.5393783946657059
0.0,6.222689999995055,6.222689999995055,core 5 cpu_idle start,0.1355223476104923
6.222689999995055,6.223869000008563,0.0011790000135079026,core 5 cpu_frequency,2.56771347541851e-05
6.223869000008563,30.989000000001397,24.765130999992834,core 5 cpu_idle,0.5393533491147839
0.0,6.222696000011638,6.222696000011638,core 6 cpu_idle start,0.13552247828329347
6.222696000011638,6.224837999994634,0.0021419999829959124,core 6 cpu_frequency,4.66500607096724e-05
6.224837999994634,30.989000000001397,24.764162000006763,core 6 cpu_idle,0.5393322455160273
0.0,6.222700000012992,6.222700000012992,core 7 cpu_idle start,0.13552256539828295
6.222700000012992,6.225982000003569,0.003281999990576878,core 7 cpu_frequency,7.147782447477629e-05
6.225982000003569,30.989000000001397,24.763017999997828,core 7 cpu_idle,0.5393073306372728
