datetime,cpu,mem
Sat Oct 24 15:07:17 GMT 2020,22,1155687
Sat Oct 24 15:07:18 GMT 2020,7.9,1152908
Sat Oct 24 15:07:19 GMT 2020,7.9,1157135
Sat Oct 24 15:07:20 GMT 2020,7.9,1164797
Sat Oct 24 15:07:22 GMT 2020,7.9,1166166
Sat Oct 24 15:07:23 GMT 2020,25,1165413
Sat Oct 24 15:07:25 GMT 2020,25,1164867
Sat Oct 24 15:07:26 GMT 2020,25,1164871
Sat Oct 24 15:07:28 GMT 2020,25,1166093
Sat Oct 24 15:07:29 GMT 2020,14,1164975
Sat Oct 24 15:07:31 GMT 2020,14,1165123
Sat Oct 24 15:07:32 GMT 2020,14,1165035
Sat Oct 24 15:07:33 GMT 2020,14,1166312
Sat Oct 24 15:07:35 GMT 2020,13,1165143
Sat Oct 24 15:07:36 GMT 2020,13,1165259
Sat Oct 24 15:07:38 GMT 2020,13,1165319
Sat Oct 24 15:07:39 GMT 2020,13,1166704
Sat Oct 24 15:07:40 GMT 2020,13,1165323
Sat Oct 24 15:07:42 GMT 2020,13,1165335
Sat Oct 24 15:07:43 GMT 2020,13,1164904
