datetime,cpu,mem
Sat Oct 24 15:09:33 GMT 2020,13,1155193
Sat Oct 24 15:09:35 GMT 2020,7.4,1154481
Sat Oct 24 15:09:36 GMT 2020,7.4,1194308
Sat Oct 24 15:09:37 GMT 2020,7.4,1193724
Sat Oct 24 15:09:39 GMT 2020,7.4,1195105
Sat Oct 24 15:09:40 GMT 2020,24,1193770
Sat Oct 24 15:09:41 GMT 2020,24,1193550
Sat Oct 24 15:09:43 GMT 2020,24,1193966
Sat Oct 24 15:09:44 GMT 2020,24,1195353
Sat Oct 24 15:09:46 GMT 2020,14,1191514
Sat Oct 24 15:09:47 GMT 2020,14,1191664
Sat Oct 24 15:09:49 GMT 2020,14,1191836
Sat Oct 24 15:09:50 GMT 2020,14,1195681
Sat Oct 24 15:09:52 GMT 2020,13,1194384
Sat Oct 24 15:09:53 GMT 2020,13,1194460
Sat Oct 24 15:09:55 GMT 2020,13,1194440
Sat Oct 24 15:09:56 GMT 2020,13,1195921
Sat Oct 24 15:09:57 GMT 2020,13,1194576
Sat Oct 24 15:09:59 GMT 2020,13,1194392
Sat Oct 24 15:10:00 GMT 2020,13,1194693
