datetime,cpu,mem
Sat Oct 24 15:16:25 GMT 2020,6,1149386
Sat Oct 24 15:16:26 GMT 2020,10,1148198
Sat Oct 24 15:16:27 GMT 2020,10,1186421
Sat Oct 24 15:16:29 GMT 2020,10,1185919
Sat Oct 24 15:16:30 GMT 2020,10,1187082
Sat Oct 24 15:16:31 GMT 2020,25,1186020
Sat Oct 24 15:16:33 GMT 2020,25,1194358
Sat Oct 24 15:16:34 GMT 2020,25,1195158
Sat Oct 24 15:16:36 GMT 2020,25,1196584
Sat Oct 24 15:16:37 GMT 2020,15,1185798
Sat Oct 24 15:16:39 GMT 2020,15,1185854
Sat Oct 24 15:16:40 GMT 2020,15,1185950
Sat Oct 24 15:16:42 GMT 2020,15,1187284
Sat Oct 24 15:16:43 GMT 2020,13,1186159
Sat Oct 24 15:16:45 GMT 2020,13,1195759
Sat Oct 24 15:16:46 GMT 2020,13,1205087
Sat Oct 24 15:16:47 GMT 2020,13,1207640
Sat Oct 24 15:16:49 GMT 2020,16,1206223
Sat Oct 24 15:16:50 GMT 2020,16,1206235
Sat Oct 24 15:16:52 GMT 2020,16,1189275
