datetime,cpu,mem
Sat Oct 24 15:11:50 GMT 2020,12,1143313
Sat Oct 24 15:11:52 GMT 2020,7.1,1143345
Sat Oct 24 15:11:53 GMT 2020,7.1,1181255
Sat Oct 24 15:11:54 GMT 2020,7.1,1180443
Sat Oct 24 15:11:56 GMT 2020,7.1,1182005
Sat Oct 24 15:11:57 GMT 2020,0.3,1180242
Sat Oct 24 15:11:59 GMT 2020,0.3,1180198
Sat Oct 24 15:12:00 GMT 2020,0.3,1180122
Sat Oct 24 15:12:02 GMT 2020,0.3,1181744
Sat Oct 24 15:12:03 GMT 2020,14,1180572
Sat Oct 24 15:12:04 GMT 2020,14,1180584
Sat Oct 24 15:12:06 GMT 2020,14,1180796
Sat Oct 24 15:12:07 GMT 2020,14,1182017
Sat Oct 24 15:12:09 GMT 2020,13,1180824
Sat Oct 24 15:12:10 GMT 2020,13,1180904
Sat Oct 24 15:12:12 GMT 2020,13,1181044
Sat Oct 24 15:12:13 GMT 2020,13,1182449
Sat Oct 24 15:12:15 GMT 2020,13,1181024
Sat Oct 24 15:12:16 GMT 2020,13,1180921
