datetime,cpu,mem
Sat Oct 24 14:25:04 GMT 2020,5.2,1193182
Sat Oct 24 14:25:06 GMT 2020,19,1186887
Sat Oct 24 14:25:07 GMT 2020,19,1209491
Sat Oct 24 14:25:08 GMT 2020,19,1211795
Sat Oct 24 14:25:10 GMT 2020,19,1209487
Sat Oct 24 14:25:11 GMT 2020,25,1207184
Sat Oct 24 14:25:13 GMT 2020,25,1206808
Sat Oct 24 14:25:14 GMT 2020,25,1205288
Sat Oct 24 14:25:16 GMT 2020,25,1206884
Sat Oct 24 14:25:17 GMT 2020,14,1205747
Sat Oct 24 14:25:18 GMT 2020,14,1205855
Sat Oct 24 14:25:20 GMT 2020,14,1206007
Sat Oct 24 14:25:21 GMT 2020,14,1207221
Sat Oct 24 14:25:23 GMT 2020,13,1205968
Sat Oct 24 14:25:24 GMT 2020,13,1206032
Sat Oct 24 14:25:26 GMT 2020,13,1206200
Sat Oct 24 14:25:27 GMT 2020,13,1207529
Sat Oct 24 14:25:29 GMT 2020,13,1206016
Sat Oct 24 14:25:30 GMT 2020,13,1205969
