datetime,cpu,mem
Sat Oct 24 14:28:29 GMT 2020,13,1169257
Sat Oct 24 14:28:31 GMT 2020,9.4,1168410
Sat Oct 24 14:28:32 GMT 2020,9.4,1188083
Sat Oct 24 14:28:33 GMT 2020,9.4,1199729
Sat Oct 24 14:28:35 GMT 2020,9.4,1192382
Sat Oct 24 14:28:36 GMT 2020,25,1191302
Sat Oct 24 14:28:37 GMT 2020,25,1190300
Sat Oct 24 14:28:39 GMT 2020,25,1190080
Sat Oct 24 14:28:40 GMT 2020,25,1191326
Sat Oct 24 14:28:42 GMT 2020,14,1190145
Sat Oct 24 14:28:43 GMT 2020,14,1190173
Sat Oct 24 14:28:45 GMT 2020,14,1190345
Sat Oct 24 14:28:46 GMT 2020,14,1191835
Sat Oct 24 14:28:48 GMT 2020,13,1190566
Sat Oct 24 14:28:49 GMT 2020,13,1190674
Sat Oct 24 14:28:51 GMT 2020,13,1190818
Sat Oct 24 14:28:52 GMT 2020,13,1192195
Sat Oct 24 14:28:54 GMT 2020,13,1190774
Sat Oct 24 14:28:55 GMT 2020,13,1190519
