datetime,cpu,mem
Sat Oct 24 14:27:21 GMT 2020,13,1161738
Sat Oct 24 14:27:22 GMT 2020,7.7,1161304
Sat Oct 24 14:27:23 GMT 2020,7.7,1182103
Sat Oct 24 14:27:25 GMT 2020,7.7,1189890
Sat Oct 24 14:27:26 GMT 2020,7.7,1182049
Sat Oct 24 14:27:28 GMT 2020,25,1180688
Sat Oct 24 14:27:29 GMT 2020,25,1180244
Sat Oct 24 14:27:31 GMT 2020,25,1180012
Sat Oct 24 14:27:32 GMT 2020,25,1181534
Sat Oct 24 14:27:34 GMT 2020,14,1180192
Sat Oct 24 14:27:35 GMT 2020,14,1180224
Sat Oct 24 14:27:37 GMT 2020,14,1180280
Sat Oct 24 14:27:38 GMT 2020,14,1181666
Sat Oct 24 14:27:40 GMT 2020,12,1180509
Sat Oct 24 14:27:41 GMT 2020,12,1180561
Sat Oct 24 14:27:43 GMT 2020,12,1180681
Sat Oct 24 14:27:44 GMT 2020,12,1182022
Sat Oct 24 14:27:46 GMT 2020,13,1180641
Sat Oct 24 14:27:47 GMT 2020,13,1180395
