datetime,cpu,mem
Sat Oct 24 14:22:48 GMT 2020,13,1183539
Sat Oct 24 14:22:50 GMT 2020,6.7,1182137
Sat Oct 24 14:22:51 GMT 2020,6.7,1203270
Sat Oct 24 14:22:52 GMT 2020,6.7,1210738
Sat Oct 24 14:22:53 GMT 2020,6.7,1205692
Sat Oct 24 14:22:55 GMT 2020,6.7,1207236
Sat Oct 24 14:22:56 GMT 2020,24,1205431
Sat Oct 24 14:22:57 GMT 2020,24,1205923
Sat Oct 24 14:22:59 GMT 2020,24,1205811
Sat Oct 24 14:23:00 GMT 2020,24,1304700
Sat Oct 24 14:23:01 GMT 2020,23,1307497
Sat Oct 24 14:23:02 GMT 2020,23,1241489
Sat Oct 24 14:23:04 GMT 2020,23,1200166
Sat Oct 24 14:23:05 GMT 2020,23,1201008
Sat Oct 24 14:23:07 GMT 2020,22,1199854
Sat Oct 24 14:23:08 GMT 2020,22,1198505
Sat Oct 24 14:23:09 GMT 2020,22,1198601
Sat Oct 24 14:23:11 GMT 2020,22,1199754
Sat Oct 24 14:23:12 GMT 2020,14,1198391
Sat Oct 24 14:23:14 GMT 2020,14,1198031
Sat Oct 24 14:23:15 GMT 2020,14,1199422
